,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,PHA_TOTAL_UNITS,SECTION8_UNITS_CNT,total_ph_units
2706,2707,WI221,Lafayette County Housing Authority,6087764880,6082927007.0,lynn.halverson@lafayettecountywi.org,6087764881.0,,lynn.halverson@lafayettecountywi.org,High Performer,VERY SMALL (0-49),SMALL (50-99),SMALL (50-99),55,55,0
2007,2008,GA207,Housing Authority of the City of Bowdon,7705377030,7705371188.0,housing_@bellsouth.net,7705374020.0,7705371188.0,hdstevens@bremenhousing.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),55,0,55
3116,3117,TX305,Housing Authority of Kerens,9033962964,9033962964.0,,9033962964.0,9033962964.0,kha@airmail.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
7,8,RQ024,MUNICIPALITY OF MOROVIS,7878622155,,federales@morovis.pr.gov,,,,,,SMALL (50-99),SMALL (50-99),56,56,0
2530,2531,WI058,Sparta Housing Authority,5074518524,,wendyb@lifestyleinc.net,5074518524.0,5074515459.0,wendyb@lifestyleinc.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
2306,2307,MO221,Housing Authority of the City of Festus,6369370044,6369377726.0,festus1@phamail.com,6369370044.0,6369377726.0,festus1@phamail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
113,114,MA080,Stockbridge Housing Authority,4132983222,4132983844.0,stockbridgeha@gmail.com,4132972435.0,4132983844.0,stockbridgeha@gmail.com,,,SMALL (50-99),SMALL (50-99),56,56,0
3099,3100,NM022,Housing Authority of the Town of Springer,5754832836,5754835090.0,springerhousingauthority@qwestoffice.net,5754832836.0,5754835090.0,springerhousing@outlook.com,Troubled Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
3601,3602,AR032,Housing Authority of the City of Paris,4799632130,4799636393.0,bmingspha@gmail.com,4799632130.0,,bmingspha@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
3406,3407,OK018,Housing Authority of the City of Snyder,5805692827,5805692282.0,rhasha018@windstream.net,5805692827.0,5805692282.0,rhasha018@windstream.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
2769,2770,LA072,Housing Authority of the Town of Simmesport,3189412806,3189412814.0,simmhouath@yahoo.com,3189412806.0,3189412814.0,simmhouath@yahoo.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
1423,1424,GA134,Housing Authority of the City of Blackshear,9122872440,9122830831.0,ed@wayxpha.com,9122872440.0,,ed@wayxpha.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
2215,2216,OH080,Preble Metropolitian Housing Authority,9374562800,9374563164.0,janelle.caron@mvcap.com,9374562800.0,9374563164.0,janelle.caron@mvcap.com,,,SMALL (50-99),SMALL (50-99),56,56,0
3241,3242,LA065,Housing Authority of the Town of Delcambre,3376854455,3376856132.0,kap00836@delcambre.net,3376854455.0,3376856132.0,dha4455@delcambre.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
1487,1488,MO026,Housing Authority of the City of Campbell,5732463103,5732463282.0,camelpha@outlook.com,5732463103.0,5732463282.0,camelpha@outlook.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),56,0,56
3224,3225,TX337,Housing Authority of Mount Vernon,9035374452,9035372272.0,mvha@peoplescom.net,9035374452.0,9035372272.0,mvha@peoplescom.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),57,0,57
17,18,RQ044,MUNICIPALITY OF GUANICA,7878212777,,profedguanica@yahoo.com,7875859382.0,,profedguanica@yahoo.com,,,SMALL (50-99),SMALL (50-99),57,57,0
2555,2556,LA159,Concordia Parish Police Jury HA,3183367151,3183369915.0,concordiaS8@yahoo.com,3183367151.0,3183369915.0,concordiaS8@yahoo.com,,,SMALL (50-99),SMALL (50-99),57,57,0
2114,2115,AL161,"Housing Authority of the City of Marion, AL",3346836658,3346836673.0,phousing@pinebelt.net,3346836658.0,3346836673.0,phousing@pinebelt.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),57,0,57
1771,1772,KY104,Housing Authority of Scottsville,2702374062,2702374173.0,mhynes@winterwoodinc.com,8599776915.0,8592771459.0,mhynes@winterwoodonline.com,Substandard Financial,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),57,0,57
2003,2004,CO037,Costilla County Housing Authority,7196723379,7196720145.0,costcohousingjg@gojade.org,7196723379.0,7196720145.0,costcohousingjg@gojade.org,Troubled Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),57,0,57
140,141,MA056,Ipswich Housing Authority,9783562860,9783567715.0,kate@ipswichhousing.com,9783562860.0,9783567715.0,iha.kmcguire@gmail.com,,,SMALL (50-99),SMALL (50-99),58,58,0
139,140,MA132,Groveland Housing Authority,9783740370,9783747621.0,clara@haverhillhousing.com,9783726761.0,,clara@haverhillhousing.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1880,1881,MI194,Bath Charter Township Housing Commission,5176416244,,cindybcthc@gmail.com,5176416244.0,5176414474.0,cindybcthc@gmail.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),SMALL (50-99),58,28,30
3062,3063,LA047,Housing Authority of the Town of Erath,3379375128,3379378399.0,julia_eha@cox-internet.com,3379375128.0,3373378399.0,misslandry65@outlook.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1961,1962,MN024,"HRA of TWO HARBORS, MINNESOTA",2188342728,2188347060.0,,2188342728.0,,bayview1@lakeconnections.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
3722,3723,TX387,Housing Authority of Kemp,9034988211,9034983404.0,kempha_2@hotmail.com,9034988211.0,9034983404.0,kempha_2@hotmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
973,974,ND016,Eddy County Housing Authority,7012521098,7012527735.0,david@greatplainsha.com,7012521098.0,7012527735.0,david@greatplainsha.com,,,SMALL (50-99),SMALL (50-99),58,58,0
2023,2024,CO043,Center Housing Authority,7197542537,7197542477.0,centerhousinga@gmail.com,7197542537.0,,centerhousinga@gmail.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),SMALL (50-99),58,28,30
3767,3768,LA099,Town of Independence HA,9858789091,9858782041.0,indyhousing@att.net,9858789091.0,9858782041.0,indyhousing@att.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1555,1556,GA203,Housing Authority of the City of Monticello,7064686201,7064681589.0,monthousing@bellsouth.net,7064686201.0,,monthousing@bellsouth.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1150,1151,MN026,"HRA of MONTEVIDEO, MINNESOTA",3202696868,3202696509.0,cmills@montehra.com,3202696868.0,3202696509.0,cmills@montehra.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1193,1194,NE030,Fairbury Housing Authority,4027293451,4027292391.0,office@parkview105.org,4027293451.0,4027293451.0,Twilya.lecuyer@parkview105.org,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
850,851,NE023,Schuyler Housing Authority,4023522431,4023523480.0,hauthority1001@qwestoffice.net,4023522431.0,4023523480.0,patti@schuylerha.com,Substandard Financial,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
2566,2567,AR053,Housing Authority of the City of McGehee,8702223732,8702223701.0,allen.64.evans@gmail.com,8702223732.0,8702223701.0,allen.64.evans@gmail.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1316,1317,NY630,Village of Waterford,5183724739,5183728467.0,section8@jeminc.com,5183724739.0,5183728467.0,section8@jeminc.com,,,SMALL (50-99),SMALL (50-99),58,58,0
2736,2737,TX171,Housing Authority of Levelland,8068949075,8068947580.0,director@levellandhousing.com,8068949075.0,8068947580.0,director@levellandhousing.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
3756,3757,LA888,"Community Support Programs, Inc.",3188651422,,vglover@cspla.org,3188651422.0,3188654566.0,vglover@cspla.org,,,SMALL (50-99),SMALL (50-99),58,58,0
2803,2804,AL080,"Housing Authority of the City of Moulton, AL",2569741196,2569741197.0,lori.moultonhousing@gmail.com,2569741196.0,2569741197.0,lori.moultonhousing@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),58,0,58
1147,1148,WI046,Richland Center Housing Authority,6086474877,6086474877.0,rccityha@mwt.net,6086474877.0,,mottcorrina@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
1921,1922,MN082,"HRA OF CROSBY, MINNESOTA",2188243425,2188288817.0,eric@brainerdhra.org,2188243425.0,,eric@brainerdhra.org,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
2772,2773,OK031,Housing Authority of the City of Wetumka,4054523444,4054525060.0,WetumkaHA@att.net,4054523444.0,4054525060.0,wetumkaha@att.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
3615,3616,AR079,Housing Authority of the City of Luxora,8706582270,8706582933.0,lha.cwc@rittermail.com,8706582270.0,8706582933.0,sc@integralenterprisesllc.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
1593,1594,WI077,Thorp Housing Authority,7156695599,7156695633.0,thorphousingauthority@outlook.com,7156695599.0,7156695633.0,thorphousingauthority@outlook.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
1022,1023,MN040,"HRA of TRACY, MINNESOTA",5076293160,5076298053.0,tracyhra@iw.net,5076293160.0,5076298053.0,tracyhra@iw.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
116,117,RQ077,MUNICIPALITY OF JUNCOS,7873336104,7877348720.0,vivienda@juncos.gov.pr,7873336104.0,7877348720.0,federales@juncos.gov.pr,,,SMALL (50-99),SMALL (50-99),59,59,0
2238,2239,KY085,Housing Authority of Providence,2706675786,2706675786.0,haofprov@vci.net,2706675786.0,2706675786.0,haofprov@vci.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
3512,3513,TN074,Erin Housing Authority,9312894261,9312894262.0,erinha@peoplestel.net,9312894261.0,9312894262.0,erinha@peoplestel.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
3554,3555,KY177,Housing Authority of Salyersville/Magoffin Co.,6063496554,6063496585.0,smcjha@foothills.net,6063496554.0,6063496585.0,smcjha@foothills.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),59,0,59
2924,2925,AL078,Housing Authority of the Town of Berry,2056894564,2056894564.0,haberry@centurytel.net,2056894564.0,2056894564.0,haberry@centurytel.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2028,2029,MI042,Ontonagon Housing Commission,9068842258,9068842204.0,ontvilhc@villageofontonagon.org,9068842258.0,9068842204.0,kajhc@villageofontonagon.org,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3361,3362,WI008,South Milwaukee Housing Auth.,4147624114,4147627271.0,jenny@bizwi.rr.com,4147624114.0,4147627271.0,jenny@bizwi.rr.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2970,2971,TX167,Housing Authority of Stamford,3257733761,3257733932.0,director@stamfordha.com,3257733761.0,3257733932.0,director@stamfordha.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3670,3671,TX348,Housing Authority of Huntington,9368765412,9368763059.0,huntingtonha@consolidated.net,9368765412.0,9368763059.0,huntingtonha@consolidated.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3716,3717,LA113,Housing Authority of the Town of New Roads,2256388940,2256385375.0,hanrt@bellsouth.net,2256388940.0,2256385375.0,hanrt@bellsouth.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2260,2261,KY090,Housing Authority of Berea,8599864436,8599864436.0,berhousing@windstream.net,8599864436.0,,berhousing@windstream.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2064,2065,MI103,Hillsdale Housing Commission,5174391210,5174399577.0,amy@hillsdalehousing.org,5174391210.0,,amy@hillsdalehousing.org,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2379,2380,AL133,Housing Authority of the Town of Hobson City,2568311651,2568310730.0,HobsonCityHA@gmail.com,2563109123.0,2568310730.0,HobsonCityHA@gmail.com,Substandard Financial,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2922,2923,AL066,Housing Authority of Reform,2053756360,2053752353.0,reformhousing@gmail.com,2053756360.0,2053752353.0,reformhousing@gmail.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3683,3684,AR072,Housing Authority of the City of Parkin,8707555646,8707552120.0,parkinpha@gmail.com,8707928733.0,8707927282.0,earlehousing@sbcglobal.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
992,993,NC045,Hot Springs Housing Authority,8286223237,8286227111.0,hsha@madison.main.nc.us,8283800399.0,,m.praterhsha@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3671,3672,TX492,Housing Authority of Jasper,4093844430,4093849428.0,jasperha@att.net,4093844430.0,4093849428.0,jasperha@att.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1168,1169,MN075,HRA OF STAPLES,2188942301,2188940072.0,shra@staplesnet.com,2188942301.0,2188940072.0,shra@staplesnet.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3086,3087,TX187,Housing Authority of Pineland,4095842654,4095849044.0,nha@valornet.com,4095842654.0,4095842654.0,phaed1@windstream.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1135,1136,GA211,Housing Authority of the City of Lincolnton,7063593243,7063592871.0,susan@lincolntonhousing.com,7063593243.0,7063592871.0,susan@lincolntonhousing.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3292,3293,TX059,Housing Authority of Center,9365982332,9365983245.0,swindham@centerha.com,9365982332.0,9365983245.0,cha_ed@outlook.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3275,3276,TX068,Housing Authority of Overton,9038346213,9038343897.0,overtonha1@phamail.com,9038346213.0,,overtonha1@phamail.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1372,1373,KS008,Holton Housing Authority,7853642130,7853645759.0,director@atchisonhousing.org,9133673323.0,,director@atchisonhousing.org,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1387,1388,GA088,Housing Authority of the City of Adel,2296869321,2296869322.0,nashvillehousing@windstream.net,2296869321.0,2296869322.0,Nashvillehousing@windstream.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3253,3254,TX295,Housing Authority of the City of Grapeland,9366874767,9366872099.0,grapelandha1@phamail.com,9366874767.0,,grapelandha1@phamail.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1116,1117,IL128,Housing Authority of Piatt County,2172623231,2172623013.0,director.hapc@outlook.com,2172623231.0,2172623013.0,director.hapc@outlook.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1537,1538,FL040,Housing Authority of the City of Eustis,3523574851,3523578081.0,hjones@eustishousingauthority.com,3523574851.0,3523578081.0,hjones@eustishousingauthority.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
653,654,MD011,Glenarden Housing Authority,3017720880,3013221945.0,lonnie.scales@gmail.com,3017720880.0,,rfuller@glenardenhousing.org,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2717,2718,TX380,Housing Authority of Rockdale,5124464180,5124465394.0,rha@classicnet.net,5129550495.0,5124465394.0,rha@classicnet.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1107,1108,IL034,Housing Authority of the County of Ford,2177845488,2177845324.0,jamie202000@gmail.com,2177845488.0,2177845324.0,jamie202000@gmail.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1584,1585,AL108,Ragland Housing Authority,2054722522,2054720499.0,system@ragland.net,2054722522.0,2054720499.0,system@ragland.net,Troubled Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
965,966,MN070,"HRA OF LITCHFIELD, MINNESOTA",3206932104,3205938199.0,lfdhra@hutchtel.net,3206932104.0,3205938199.0,jenny@litchfieldhra.org,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
936,937,WV044,Housing Authority of the City of Romney,3048225296,3048224337.0,mkesner25@frontier.com,3048225296.0,3048224337.0,mkesner25@frontier.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3342,3343,LA071,Housing Authority of the Town of Cottonport,3188763457,3188763728.0,cporth2002@yahoo.com,3188763457.0,3188763728.0,cporth2002@yahoo.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3561,3562,AL083,Collinsville Housing Authority,2565939164,2565939168.0,tarha@hiwaay.net,2565939164.0,2565939168.0,tarha@hiwaay.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3628,3629,AR264,Earle Housing Authority,8707353520,8707351772.0,Sheliahandy@comcast.net,8707353520.0,,sheliahandy@comcast.net,,,SMALL (50-99),SMALL (50-99),60,60,0
3621,3622,OK106,Housing Authority of the City of Langston,4054662619,,dclark@cimarronss.com,4054662619.0,,dclark@cimarronss.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
2656,2657,TX084,Housing Authority of Paducah,8064923788,8064923675.0,housing@caprock-spur.com,8063467377.0,,housing@caprock-spur.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1068,1069,MN087,"HRA OF WASECA, MINNESOTA",5078351753,5078338683.0,whradir@hickorytech.net,5078351753.0,5078338683.0,whradir@hickorytech.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
499,500,MD012,Havre de Grace Housing Authority,4109392097,4109396053.0,nbiggs@rwlsbs.com,4109392097.0,,nbiggs@rwlsbs.com,Troubled Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3181,3182,AL055,HA CORDOVA,2054837454,2054830132.0,tammyakins@cordovaha.org,2054837454.0,,tammyakins@cordovaha.org,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3128,3129,TX235,Housing Authority of Bangs,3257526522,3257526522.0,Karen@bangsha.net,3259980237.0,3257526522.0,Karen@bangsha.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1159,1160,MT007,Housing Authority of Glasgow,4062284942,4062288062.0,hago@nemontel.net,4062284942.0,4062288062.0,hago@nemont.net,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1080,1081,MO024,Housing Authority of the City of Bernie,5732935798,5732935662.0,bhousing@bpsnetworks.com,5732935798.0,5732935662.0,bhousing@bpsnetworks.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3164,3165,TX060,Housing Authority of the City of Mineola,9035693519,9035691683.0,mineolapha@suddenlinkmail.com,9035693519.0,9035691683.0,jomanager1955@gmail.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1087,1088,MN096,"HRA OF COOK, MINNESOTA",2186662533,2186662042.0,director@cookhra.com,2186662533.0,,cookhra@yahoo.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
1810,1811,NE074,Plattsmouth Housing Authority,4022963380,4022963380.0,sherylkp@windstream.net,4022963380.0,4022963380.0,sherylkp@windstream.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),60,0,60
3231,3232,TX204,Housing Authority of Santa Anna,3253483811,2553483811.0,pblanton@web-access.net,3253483811.0,3253483811.0,pblanton@web-access.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
2149,2150,MI053,Allen Park Housing Commission,3139285970,3139280488.0,andrew@allenparkhousing.com,3132692539.0,,andrew@allenparkhousing.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
2747,2748,MS117,The Housing Authority of Attala County,6622895181,6625168020.0,haattalaco@maxxsouth.net,6622895181.0,6625168020.0,haattalaco@maxxsouth.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
1374,1375,GA191,Housing Authority of the City of Union Point,7064864501,7064862834.0,ga191@windstream.net,7064864501.0,,director@uphaga.org,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
3144,3145,OK149,Housing Authority of the City of Pauls Valley,4052387507,4052385856.0,paulsvalleyhousingauthority@yahoo.com,4052387507.0,4052385856.0,paulsvalleyhousingauthority@yahoo.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
1814,1815,AL076,HACKLEBURG HOUSING AUTHORITY,2054682637,2054682633.0,Twebb@ghousingauth.com,2054682637.0,2054682633.0,Twebb@ghousingauth.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
2798,2799,OK086,Housing Authority of the Town of Stratford,5807593184,5807593378.0,shousing@sbcglobal.net,5807593184.0,5807593378.0,shousing@sbcglobal.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
57,58,RQ059,MUNICIPALITY OF AIBONITO,7877358181,,amcamacho@aibonitopr.net,7877358181.0,7877358181.0,amcamacho@aibonitopr.net,,,SMALL (50-99),SMALL (50-99),61,61,0
150,151,MA174,Salisbury Housing Authority,9784628600,9784633512.0,iha.kmcguire@gmail.com,9784628600.0,,kate@ipswichhousing.com,,,SMALL (50-99),SMALL (50-99),61,61,0
3462,3463,TX454,Willacy County Housing Authority,9566892733,9566893799.0,wcha@prontonet.net,9566892733.0,9566893799.0,o.zamora.wcha@gmail.com,,,SMALL (50-99),SMALL (50-99),61,61,0
41,42,MA100,Athol Housing Authority,9782494848,9782499604.0,cmartin@atholorangehousing.com,9782494848.0,9782499604.0,cmartin@atholorangehousing.com,,,SMALL (50-99),SMALL (50-99),61,61,0
855,856,WI072,Clintonville Housing Authority,7158233541,7158231447.0,clintha@frontiernet.net,7158233541.0,7158231447.0,clintha@frontiernet.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),61,0,61
2454,2455,KY052,Housing Authority of Lancaster,8597923813,8597926264.0,haloffice.ps@gmail.com,8597923813.0,,haloffice.ps@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
1751,1752,KS011,Horton Housing Authority,7854863615,7854863939.0,hortonhousing@hotmail.com,7854863615.0,,hortonhousing@hotmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
2180,2181,MI182,Charlevoix Housing Commission,2315475451,2315479686.0,annessah@mphcstaff.org,9897733784.0,9897733987.0,annessah@mphcstaff.org,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
2974,2975,AZ045,Gila County Housing Authority,9284257631,9284259468.0,pcampos@gilacountyaz.gov,9289613608.0,,jbeck@gilacountyaz.gov,,,SMALL (50-99),SMALL (50-99),62,62,0
1245,1246,IL099,Housing Authority of the County of Brown,2177732731,2177732731.0,bchadirector@outlook.com,2177732731.0,2177732731.0,bchadirector@outlook.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
1837,1838,TN049,Savannah Housing Authority,7319252020,7319262337.0,melinda@savhousing.com,7319252020.0,,melinda@savhousing.com,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
2465,2466,KS029,Augusta Housing Authority,3167756971,3167756828.0,augustahousing316ed@gmail.com,3167756971.0,3167756828.0,augustahousing316@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
128,129,MA082,Holden Housing Authority,9787286970,9787284634.0,Ben@Leominsterha.Com,9785375300.0,,bgold1218@gmail.com,,,SMALL (50-99),SMALL (50-99),62,62,0
3471,3472,IA014,Low Rent Housing Agency Of Onawa,7124231736,7124231687.0,Lrha1@longlines.com,7124231736.0,7124231687.0,centerheights1017@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
581,582,VA037,Covington Redevelopment & Housing Authority,5409469230,5409423281.0,k_byrd@wrha.org,5409469230.0,5409423281.0,k_byrd@wrha.org,,,SMALL (50-99),SMALL (50-99),62,62,0
1721,1722,KS015,North Newton Housing Authority,3162838731,3162834466.0,w.homes@nnha.kscoxmail.com,3162838731.0,3162834466.0,w.homes@nnha.kscoxmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
1066,1067,MN046,"HRA of ST. PETER, MINNESOTA",5079312236,,stpeterhra4@hickorytech.net,5079312236.0,,stpeterhra4@hickorytech.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
575,576,NY416,Town of Clifton Park,5183724739,5183728467.0,section8@jeminc.com,5183724739.0,5183728467.0,section8@jeminc.com,,,SMALL (50-99),SMALL (50-99),62,62,0
2241,2242,AL147,Housing Authority of the City of Bridgeport,2564952553,2564952551.0,bportalhousing@gmail.com,2564952553.0,,bportalhousing@gmail.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
1141,1142,WI086,Jefferson Housing Authority,9206745294,9206745194.0,jhadirector@yahoo.com,9206745294.0,9206745194.0,jhadirector@yahoo.com,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),62,0,62
3251,3252,WA041,HA Of Whatcom County,3606766887,3606767696.0,BellinghamHousing.info@BellinghamHousing.org,3605274602.0,,brien.thane@bellinghamhousing.org,Standard Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),63,0,63
1417,1418,NY413,Village of Canajoharie,5186732203,5186733840.0,cjhouse@albany.twcbc.com,5186732203.0,5186733840.0,canjohud8@gmail.com,,,SMALL (50-99),SMALL (50-99),63,63,0
1184,1185,WI041,Lake Mills Housing Authority,9206485064,9206482052.0,LMHA@rlmanor.net,9206485064.0,9206482052.0,LMHA@rlmanor.net,High Performer,SMALL (50-99),VERY SMALL (0-49),SMALL (50-99),63,0,63
